Country;Charter type code;Organisation Name;Erasmus code;Street;Postcode;City
GR;EUCX;ΔΙΕΘΝΕΣ ΠΑΝΕΠΙΣΤΗΜΙΟ ΕΛΛΑΔΟΣ;G  THESSAL14;14TH KM THESSALONIKI - MOUDANIA ;57001 THERMI; THESSALONIKI
PL;EUCX;WYZSZA SZKOLA PEDAGOGICZNA TOWARZYSTWA WIEDZY POWSZECHNEJ;PL WARSZAW23;ul. Pandy 13;02-202; Warsaw
ES;EUCP;IES VALLE DE TURON;E  OVIEDO13;SANTA MARINA S/N;33610;(TURON) MIERES
NL;EUCX;HAS DEN BOSCH;NL S-HERTO01;Onderwijsboulevard 221;5223;`s-Hertogenbosch
NO;EUC;MARKEDSHØYSKOLEN;N  OSLO58;KIRKEGATEN 24-26;POB 1195 SENTRUM;0107 OSLO
TR;EUC;KARA HARP OKULU;TR ANKARA12;KARA HARP OKULU;HRK. VE EGT.S.MD.LUGU;06654 BAKANLIKLAR - ANKARA
FR;EUCP;LYCEE POLYVALENT DE BAZEILLES;F  SEDAN02;LYCEE BAZEILLES - PARC DE MONTVILLERS;BP 45036 BAZEILLES;08207 SEDAN CEDEX
FR;EUCX;UNIVERSITE DES ANTILLES ET DE LA GUYANE;F  POINT-P05;ADMINISTRATION GENERALE- CAMPUS DE FOUILLOLE;BP 250;97157 POINTE A PITRE CEDEX
ES;EUCX;UNIVERSIDAD DE A CORUNA ;E  LA-CORU01;O Lagar - Campus de Elviña;15071;A CORUNA
ES;EUCP;IES RAMÓN MENÉNDEZ PIDAL ;E  LA-CORU02;Mª VICTORIA FDEZ-ESPAÑA Y FERNÁNDEZ LATORRE 2;15002;A CORUÑA
ES;EUCX;ESCOLA DE ARTE E SUPERIOR DE DESEÑO PABLO PICASSO;E  LA-CORU03;2, OS PELAMIOS STREET;15001;A CORUÑA
ES;EUCX;CONSERVATORIO SUPERIOR DE MUSICA DA CORUNA;E  LA-CORU05;DOLORES IBARRURI 4 2C;15179 SANTA CRUZ OLEIROS;A CORUÑA
ES;EUCP;IES FERNANDO WIRTZ SUÁREZ;E  LA-CORU04;RÚA / CABALLEROS, 1;15006;A CORUÑA
ES;EUCX;IES PASEO DAS PONTES;E  LA-CORU07;SAN PEDRO DE MEZONZO 4;15004;A CORUÑA
ES;EUCX;CENTRO INTEGRADO DE FORMACIÓN PROFESIONAL ÁNXEL CASAL;E  LA-CORU08;PASEO MARÍTIMO, 47;15002;A CORUÑA
ES;EUCP;CIFP SOMESO;E  LA-CORU12;SOMESO, 6;15008;A CORUÑA
ES;EUCX;"INSTITUTO ENSINO SECUNDARIO PLURILINGÜE ""EUSEBIO DA GUARDA""";E  LA-CORU16;PRAZA DE PONTEVEDRA 20;15003;A CORUÑA
ES;EUCP;INSTITUTO DE ENSEÑANZA SECUNDARIA A SARDIÑEIRA;E  LA-CORU15;AVDA. DA SARDIÑEIRA S/N;15007;A CORUÑA
ES;EUCP;IES. URBANO LUGRIS;E  LA-CORU21;AV. ARTEIXO 128;15007;A CORUÑA
ES;EUCP;INSTITUTO DE EDUCACIÓN SECUNDARIA 'A SANGRIÑA';E  PONTEVE05;PASEO DE PORTUGAL 21;36780;A GUARDA
DE;EUCX;FACHHOCHSCHULE AACHEN ;D  AACHEN02;Hohenstaufenallee 10;52064;Aachen
DE;EUCX;RHEINISCH-WESTFAELISCHE TECHNISCHE HOCHSCHULE AACHEN;D  AACHEN01;TEMPLERGRABEN 57;52062;AACHEN
DK;EUCX;NORDJYSK MUSIKKONSERVATORIUM;DK ALBORG03;RYESGADE 52;9000;AALBORG
DK;EUCX;AALBORG UNIVERSITET;DK ALBORG01;Fredrik Bajersvej 5;9220;Aalborg East
DK;EUCX;DET INFORMATIONSVIDENSKABELIGE AKADEMI;DK KOPENHA10;Fredrik Bajers Vej 7K;DK-9220;AALBORG OST
DK;EUCX;PROFESSIONSHØJSKOLEN UNIVERSITY COLLEGE NORDJYLLAND;DK ALBORG02;Mylius Erichsens Vej 131;9210;AALBORG SØ
DE;EUCX;HOCHSCHULE AALEN;D  AALEN01;Beethovenstr. 1;73430;Aalen
NO;EUCX;HOEGSKOLEN I AALESUND;N  ALESUND01;Service box 17;6025;Aalesund
FI;EUCX;AALTO-YLIOPISTO (AALTO-KORKEAKOULUSÄÄTIÖ);SF ESPOO12;P O BOX 17800;00076;AALTO (TOWN, ESPOO)
DK;EUC;Det Jyske Kunstakademi;DK ARHUS27;Mejlgade 32-34;8000;Aarhus
DK;EUCX;ARKITEKTSKOLEN  AARHUS;DK ARHUS04;Noerreport 20;8000;Aarhus C
DK;EUCX;AARHUS UNIVERSITET;DK ARHUS01;Ndr. Ringgade 1;8000;AARHUS C
DK;EUCX;DET JYSKE MUSIKKONSERVATORIUM;DK ARHUS05;Skougaardsgade 2C;8000;AARHUS C
DK;EUCX;DANMARKS MEDIE-OG JOURNALISTHOEJSKOLE ;DK ARHUS10;Olof Palmes alle 11;8200;Aarhus N
NO;EUC;UNIVERSITETET FOR MILJØ OG BIOVITENSKAP;N  AS02;P.O. Box 5003;1432;Aas
ES;EUCP;IES DOLORES IBARRURI BHI;E  BILBAO59;AVDA. EL MINERO 28;48500;ABANTO-ZIERBENA
ES;EUCP;IES VILLA DE ABARAN;E  MURCIA22;C/ CONSTANTINO GÓMEZ CANO, 1;30550;ABARÁN (MURCIA)
UK;EUCX;THE ROBERT GORDON UNIVERSITY;UK ABERDEE03;Schoolhill;AB10 1FR;Aberdeen
UK;EUCX;UNIVERSITY OF ABERDEEN ;UK ABERDEE01;King's College;AB24 3FX;Aberdeen
UK;EUCX;PRIFYSGOL ABERYSTWYTH;UK ABERYST01;Penglais Campus;SY23 3FB;ABERYSTWYTH
FI;EUCX;ABO AKADEMI;SF TURKU02;Tavastgatan 13;20500;ÅBO
TR;EUCX;CUKUROVA UNIVERSITESI;TR ADANA01;CUKUROVA UNIVERSITY, INTERNATIONAL OFFICE, BALCALI;01330;ADANA
ES;EUCP;IES ADEJE;E  TENERIF08;C/LA CRUZ 45 ;38670;ADEJE- LOS OLIVOS
TR;EUC;ADIYAMAN UNIVERSITESI;TR ADIYAMA01;ADIYAMAN ÜNIVERSITESI REKTÖRLÜGÜ ;02040;ADIYAMAN
ES;EUCP;IES ABDERA;E  ALMERIA06;MARISMA, 6;04770;ADRA (ALMERIA)
ES;EUCP;IES GAVIOTA;E  ALMERIA09;ST/ ESTERO;04770;ADRA( ALMERÍA)
IT;EUC;CONSERVATORIO DI MUSICA DI ADRIA (RO);I  ADRIA01;viale maddalena 2;45011;Adria
GR;EUCX;TECHNOLOGIKO EKPEDEFTIKO IDRIMA (T.E.I.) OF ATHENS;G  ATHINE34;Agiou Spyridonos and Milou 1;12210 ;Aegaleo Athens
IT;EUC;ACADEMY SCHOOL S.R.L.;I  NAPOLI10;VIA S.MARIA, 3;80021;AFRAGOLA (NA)
TR;EUCX;AFYON KOCATEPE UNIVERSITESI;TR AFYON01;Afyon Kocatepe University, ANS Campus, Gazligol Yolu;03200;Afyonkarahisar
FR;EUCX;SUD MANAGEMENT;F  AGEN06;SUD MANAGEMENT Agropole -Estillac  - BP 209;47931 ;AGEN CEDEX 09
FR;EUCP;LYCÉE JEAN-BAPTISTE DE BAUDRE;F  AGEN04;5 ALLÉE POMARÈDE;47916;AGEN CÉDEX 09
GR;EUCX;ΠΑΝΕΠΙΣΤΗΜΙΟ ΔΥΤΙΚΗΣ ΕΛΛΑΔΑΣ;G  AGRINIO01;2, G. SEFERI ST.;GR-30100;AGRINIO
ES;EUCX;IESO DE AGUAS NUEVAS;E  ALBACET01;CARRETERA DE AGUAS NUEVAS, KM 6.7;02071;AGUAS NUEVAS (ALBACETE)
ES;EUCX;IES S.M. LA REAL;E  PALENCI02;P. MONASTERIO S/N;34800;AGUILAR DE CAMPOO - PALENCIA
ES;EUCX;I.E.S. VILLA DE AGÜIMES;E  LAS-PAL23;C/ ALCORAC, 50. POLÍGONO RESIDENCIAL DE ARINAGA ;35118;AGÜIMES, LAS PALMAS
FR;EUCX;IEP - INSTITUT D'ETUDES POLITIQUES D'AIX-EN-PROVENCE;F  MARSEIL55;25 rue Gaston de Saporta;13625;AIX EN PROVENCE
FR;EUC;ECOLE SUPÉRIEURE D'ART FÉLIX CICCOLINI;F  AIX-PRO11;rue Emile TAVAN;13100;Aix-en-Provence
FR;EUCP;IPSAA ESDAC;F  AIX-PRO20;5, BOULEVARD DE LA RÉPUBLIQUE;13100;Aix-en-Provence
FR;EUCX;UNIVERSITE D'AIX-MARSEILLE;F  MARSEIL84;UNIVERSITÉ D'AIX-MARSEILLE DRI  3, AV ROBERT SCHUMAN;13628;AIX-EN-PROVENCE CEDEX 1
FR;EUCX;ECOLE NATIONALE DES TECHNICIENS DE L'EQUIPEMENT;F  AIX-PRO19;Pôle d'activités d'Aix - 680, rue Albert Einstein BP 65000;13792;Aix-en-Provence Cedex 3
FR;EUC;LYCÉE MARLIOZ  -  AIX-LES-BAINS;F  CHAMBER12;LYCÉE MARLIOZ   -  CHEMIN  DU  LYCÉE  -  BP 251;73102;AIX-LES-BAINS CEDEX
TR;EUCX;AKSARAY ÜNİVERSİTESİ;TR AKSARAY01;AKSARAY ÜNİVERSİTESİ, DIŞ İLİŞKİLER OFİSİ, 68100,AKSARAY;68100;AKSARAY
IS;EUCX;HÁSKÓLINN Á AKUREYRI;IS AKUREYR01;Haskolinn á Akureyri, Sólborg Vinordusiód;600 ;Akureyri
ES;EUCX;IES VERGE DEL REMEI;E  ALICANT03;C/ BARONIA DE POLOP/  NR. 9;03011;ALACANT
RO;EUCX;"UNIVERSITATEA ""1 DECEMBRIE 1918"" ALBA IULIA";RO ALBAIU01;Gabriel Bethlen 5;510009;Alba Iulia
ES;EUCX;IES TOMAS NAVARRO TOMAS;E  ALBACET03;AVENIDA DE ESPAÑA, 40;02006;ALBACETE
ES;EUCP;I.E.S. AL-BASIT;E  ALBACET04;AVENIDA DE ESPAÑA 42;02006;ALBACETE
ES;EUCP;IES LEONARDO DA VINCI;E  ALBACET05;C/ LA PAZ S/N;02006;ALBACETE
ES;EUCP;I.E.S. DON BOSCO;E  ALBACET08;PASEO DE LA CUBA 43;02006;ALBACETE
ES;EUCP;IES ANDRES DE VANDELVIRA;E  ALBACET09;AVDA.CRONISTA MATEOS Y SOTOS, 3;02006;ALBACETE
ES;EUCP;IES UNIVERSIDAD LABORAL - ALBACETE;E  ALBACET10;AVENIDA DE  LA MANCHA S/N;02006;ALBACETE
ES;EUCP;I.E.S. FEDERICO GARCÍA LORCA;E  ALBACET11;CALLE: PINTOR QUIJADA 1;02006;ALBACETE
ES;EUC;ESCUELA DE ARTE DE ALBACETE;E  ALBACET14;CALLE CRONISTA MATEO Y SOTOS 2, 4ºE;02006;ALBACETE
ES;EUCP;IES ALBAL;E  VALENCI60;STREET HERNANDEZ LAZARO (NO NUMBER);46470;ALBAL
ES;EUCP;IES ANTONIO SERNA SERNA;E  ALICANT35;C/ ALCALDE ANTONIO MARTÍNEZ, 15;03340;ALBATERA (ALICANTE)
ES;EUCX;IES CONSUELO ARANDA;E  VALENCI48;IES CONSUELO ARANDA - CAMINO MISSANA S/N;46260;ALBERIC
FR;EUCP;LYCÉE JEAN MOULIN  ALBERTVILLE;F  CHAMBER10;LYCÉE JEAN MOULIN 12 RUE FÉLIX CHAUTEMPS;73200;ALBERTVILLE
FR;EUCX;EPL DU TARN;F  ALBI06;ROUTE DE TOULOUSE;81000;ALBI
FR;EUCP;IFSI DU CH D'ALBI;F  ALBI08;RUE DES TROIS TARN;81000;ALBI
FR;EUCX;ECOLE NATIONALE SUPERIEURE DES MINES ALBI-CARMAUX;F  ALBI05;Campus Jarlard - Route de Teillet;81013;ALBI CEDEX 09
FR;EUCX;CENTRE UNIVERSITAIRE DE FORMATION ET DE RECHERCHE JEAN-FRANCOIS CHAMPOLLION;F  CASTRES03;Place de Verdun;81000;ALBI CEDEX 9
FR;EUCP;IFSI BON SAUVEUR ALBY;F  ALBI07;1 RUE DE LAVAZIÈRE;81025;ALBI CEDEX 9
ES;EUCP;I.E.S. MARTÍN GARCÍA RAMOS (ALBOX);E  ALMERIA14;CALLE CAÑO SAN FELIPE Nº 1;04800;ALBOX (ALMERÍA)
ES;EUCP;IES CRISTÓBAL DE MONROY;E  SEVILLA15;AVDA. DE LA CONSTITUCIÓN S/N;41500;ALCALÁ DE GUADAIRA 
ES;EUCX;UNIVERSIDAD DE ALCALA;E  ALCAL-H01;Plaza de San Diego;28801;ALCALA DE HENARES
ES;EUCX;IES ALONSO DE AVELLANEDA;E  MADRID98;VITORIA 3;28804;ALCALA DE HENARES
